Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,2,5,4,0.833363073,0.137011601,0.00883557,0.0,0.055972636,0.311099469,0.664994941,0.833363073,0.952833561,0.999730734,0.998492764,0.941695246,0.797225373,0.833363073,0.994330822,0.999961404,0.999961404,1.0,0.995686126,0.678366293,0.354172963,0.137011601,0.005268839
0,0,6,4,0.18133826,0.180411153,0.239416929,0.471235842,0.563482167,0.568945466,0.570591816,0.565824683,0.563244692,0.569095688,0.570539685,0.57347573,0.564780625,0.557477645,0.774663727,0.862475967,0.996586002,1.0,0.898095204,0.799386132,0.481338185,0.0,0.217920521
0,0,7,4,0.181349581,0.180420572,0.219600943,0.0,0.542794318,0.576924368,0.547839418,0.567222768,0.552411298,0.568553241,0.564728987,0.559625785,0.562233104,0.493220371,0.787097456,0.897222598,1.0,0.996860789,0.925642705,0.752669919,0.473866818,0.287481128,0.181830516
0,0,8,4,0.000566061,0.0,0.066626529,0.334571955,0.470162157,0.479107661,0.474294242,0.477922879,0.481544906,0.482577544,0.482479459,0.479581965,0.441622134,0.452151416,0.739659685,0.992575635,1.0,1.0,1.0,0.99845127,0.728180455,0.306110973,0.130752668
0,0,9,4,0.180945769,0.180422865,0.228300254,0.464348731,0.564198776,0.575163723,0.574549288,0.567782296,0.557605261,0.567631097,0.570537822,0.553341676,0.573874008,0.507136703,0.782599,0.94548391,1.0,1.0,1.0,1.0,0.810506252,0.478914578,0.0
0,1,10,4,0.180673571,0.181243323,0.190786242,0.0,0.489441758,0.57135138,0.549373022,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.447132639,0.625695393,0.776322699,0.987076951,1.0,1.0,1.0,1.0,1.0,0.996989398
0,1,11,4,0.431221692,0.245994542,0.180153512,0.178395955,0.167652468,0.0,0.539358705,0.569905043,0.56776163,0.574733064,0.572537126,0.566274755,0.547034925,0.546962836,0.801492726,0.862443384,0.999793848,1.0,1.0,1.0,1.0,1.0,1.0
0,2,12,4,0.888794016,0.289471591,0.182422546,0.179382956,0.166621803,0.290029991,0.489929098,0.617826136,0.768304417,0.799025661,0.741064833,0.697912795,0.577487687,0.778530491,0.833839331,0.942069563,1.0,0.83441958,0.770638728,0.487824371,0.0,0.27145279,0.182784371
0,0,13,4,0.002013872,0.0,0.102614702,0.484724401,0.657175337,0.740016978,0.469978292,0.480230463,0.483755687,0.480436052,0.480280336,0.477997547,0.48174877,0.540546257,0.829665078,0.999898814,1.0,1.0,0.999947327,0.714599712,0.38911998,0.131633521,0.024709433
0,0,14,4,0.000824645,0.0,0.092682868,0.491887468,0.67784993,0.656978004,0.453854781,0.480785052,0.482600293,0.480718286,0.482554731,0.481583415,0.469080607,0.503465522,0.830977068,0.99907171,1.0,1.0,1.0,0.772173667,0.430382954,0.481696562,0.13113368
